ensemble,date,time,distance_traveled,river_depth,bin_width,latitude,longitude
109,2021-04-05,15:43:09,0,0.45,-9999,-9999,-9999
110,2021-04-05,15:43:10,0.02,0.45,-9999,-9999,-9999
111,2021-04-05,15:43:10,0.09,0.45,-9999,-9999,-9999
112,2021-04-05,15:43:11,0.18,0.44,-9999,-9999,-9999
113,2021-04-05,15:43:12,0.26,0.45,-9999,-9999,-9999
114,2021-04-05,15:43:12,0.35,0.45,-9999,-9999,-9999
115,2021-04-05,15:43:13,0.41,0.46,-9999,-9999,-9999
116,2021-04-05,15:43:13,0.45,0.47,-9999,-9999,-9999
117,2021-04-05,15:43:14,0.47,0.47,-9999,-9999,-9999
118,2021-04-05,15:43:14,0.49,0.47,-9999,-9999,-9999
119,2021-04-05,15:43:15,0.53,0.45,-9999,-9999,-9999
120,2021-04-05,15:43:16,0.6,0.49,-9999,-9999,-9999
121,2021-04-05,15:43:16,0.68,0.5,-9999,-9999,-9999
122,2021-04-05,15:43:17,0.77,0.49,-9999,-9999,-9999
123,2021-04-05,15:43:17,0.89,0.49,-9999,-9999,-9999
124,2021-04-05,15:43:18,1.04,0.49,-9999,-9999,-9999
125,2021-04-05,15:43:19,1.16,0.5,-9999,-9999,-9999
126,2021-04-05,15:43:19,1.3,0.52,-9999,-9999,-9999
127,2021-04-05,15:43:20,1.4,0.51,-9999,-9999,-9999
128,2021-04-05,15:43:20,1.55,0.53,-9999,-9999,-9999
129,2021-04-05,15:43:21,1.76,0.53,-9999,-9999,-9999
130,2021-04-05,15:43:22,1.9,0.54,-9999,-9999,-9999
131,2021-04-05,15:43:22,2.01,0.54,-9999,-9999,-9999
